Program,Worker,Count,Time_Sec,Avg_CPU,Avg_Mem_KB,Avg_IO_kB_s
program_a,cpu,1,7.367362254,100.00,2160,43.65
program_a,mem,1,7.349864711,96.36,104064,27.36
program_a,io,1,11.017248574,24.21,2024,28.79
program_a,cpu,2,12.236807131,96.00,1956,25.88
program_a,mem,2,13.481373034,97.54,207100,26.82
program_a,io,2,13.467828756,58.37,2988,26.91
program_b,cpu,1,6.131524878,96.36,1420,26.19
program_b,mem,1,6.135550822,96.36,103628,26.07
program_b,io,1,10.994398422,26.15,1376,25.03
program_b,cpu,2,12.248277131,95.95,1428,24.65
program_b,mem,2,12.270951533,99.09,206104,24.67
program_b,io,2,13.458116173,57.00,1504,23.94
