Program,Worker,Count,Time_Sec,Avg_CPU,Avg_Mem_KB,Avg_IO_kB_s
program_a,cpu,2,12.255558534,97.30,1956,21.02
program_a,mem,2,13.496329548,98.36,207100,27.77
program_a,io,2,13.397242006,56.01,2988,22.28
program_a,cpu,3,17.205415161,96.70,2404,21.32
program_a,mem,3,18.403384120,93.90,310096,20.49
program_a,io,3,17.146690925,64.76,3666,20.84
program_a,cpu,4,22.159930163,95.87,2848,20.38
program_a,mem,4,24.660725331,96.74,413124,20.21
program_a,io,4,22.020559038,71.04,5428,19.83
program_a,cpu,5,28.307956680,96.08,3300,19.51
program_a,mem,5,30.796685736,94.04,507898,19.11
program_a,io,5,26.915327763,68.54,5864,18.67
program_b,cpu,2,11.032767949,96.96,1428,20.14
program_b,mem,2,12.263692798,98.18,206044,18.99
program_b,io,2,13.432477909,54.95,1504,18.76
program_b,cpu,3,17.193858716,97.40,1428,19.23
program_b,mem,3,18.436308911,98.78,308456,18.15
program_b,io,3,17.139571425,67.82,1504,18.31
program_b,cpu,4,22.119991413,97.97,1556,16.99
program_b,mem,4,24.554723581,98.56,410868,17.40
program_b,io,4,22.014964080,69.62,1504,17.21
program_b,cpu,5,28.338348624,96.83,1552,17.01
program_b,mem,5,29.712652583,98.48,513280,16.56
program_b,io,5,27.002368832,68.53,1504,17.86
program_b,cpu,6,33.801938835,98.34,1556,16.19
program_b,mem,6,36.277895253,98.17,615692,16.02
program_b,io,6,33.382668752,69.38,1500,15.65
program_b,cpu,7,38.933478587,98.60,1556,15.31
program_b,mem,7,41.569574741,99.22,718100,14.99
program_b,io,7,39.572266005,70.56,1504,14.72
program_b,cpu,8,44.251502548,98.79,1556,14.51
program_b,mem,8,47.946026244,98.14,820516,14.07
program_b,io,8,45.652353118,68.06,1632,13.90
