Mode,MsgSize,Threads,Throughput_Gbps,Latency_us,Cycles,Instructions,L1_Misses,LLC_Misses,ContextSwitch
1,256,1,9.1828,0.22,1426901155,2460945364,16554862,8030,1556
1,256,2,17.6876,0.12,3342693951,5324127886,40370340,33889,5032
1,256,4,33.6372,0.06,8367502590,10169559109,100825866,117524,8929
1,256,6,48.0676,0.04,13874173024,14747323758,170002377,212664,16175
1,256,8,59.9814,0.03,18933431417,19405635324,214419167,297007,14863
1,512,1,16.8461,0.24,2963592813,5120361511,34640849,6878,4737
1,512,2,33.3077,0.12,5946369394,10238072769,69558379,33570,7160
1,512,4,28.8682,0.14,30764102991,36549051973,404164826,5701,659
1,512,6,27.9540,0.15,30973368514,36679189531,398782704,11817,1280
1,512,8,27.9233,0.15,30948513685,36725830843,400390349,12166,1249
1,1024,1,12.2008,0.67,10723767002,17248701120,98060944,3082,14
1,1024,2,24.2004,0.34,20995267906,34194916347,192944801,2567,21
1,1024,4,25.9378,0.32,30916590170,39407524850,387598953,6924,647
1,1024,6,25.6440,0.32,30795624545,38990455401,381085354,5380,1252
1,1024,8,25.5952,0.32,30642268308,38724816703,379439778,7784,1264
1,2048,1,10.8751,1.51,10541905171,16090332068,96272940,2008,12
1,2048,2,21.1224,0.78,20939320759,32274316395,180998115,3478,23
1,2048,4,25.0635,0.65,30795996400,38718906273,400411052,4086,611
1,2048,6,24.9333,0.66,30548045240,38464658128,405383231,5798,1228
1,2048,8,24.9808,0.66,30542158124,38374117230,409219115,6230,1228
1,4096,1,10.8254,3.03,10724654007,17280372017,92389236,1614,11
1,4096,2,20.9548,1.56,20969013020,33984922343,180784948,2879,24
1,4096,4,24.1125,1.36,30837977276,39237901014,384526629,5066,616
1,4096,6,24.1163,1.36,30548028967,38571638291,375083970,5531,1235
1,4096,8,24.1131,1.36,30484444603,38797613231,389134625,3962,665
1,8192,1,10.8286,6.05,10505520106,17289629012,90621005,1882,11
1,8192,2,21.1566,3.10,20930014225,34467585268,176439384,2366,25
1,8192,4,24.3125,2.70,30804754628,39632837323,375632053,4472,616
1,8192,6,24.1126,2.72,30435930015,39132203812,377814936,5119,658
1,8192,8,24.4354,2.68,30673595854,39308412846,375297097,5644,1504
2,256,1,9.1011,0.23,1928433414,2603358047,12436125,3212,1991
2,256,2,17.8256,0.11,3953162299,5315048999,25946667,17851,5031
2,256,4,33.7670,0.06,9474694916,10162190687,70947078,66258,10582
2,256,6,49.7899,0.04,16113347859,15209048949,127448489,178369,13101
2,256,8,40.8463,0.05,29689460971,31931181674,283009315,97527,4203
2,512,1,17.2467,0.24,3910369854,5313265651,24207893,5898,3011
2,512,2,32.8168,0.12,7773717370,10304756249,53635420,38644,6902
2,512,4,28.1461,0.15,30707437156,35140244880,303168342,10334,884
2,512,6,27.0642,0.15,30990625038,35772129706,302044859,6404,1261
2,512,8,27.0567,0.15,30990128938,35556921386,301350375,9736,1613
2,1024,1,11.3250,0.72,10711513580,16206825364,73564563,2742,7
2,1024,2,22.0960,0.37,20950749414,31608824188,144902537,3366,26
2,1024,4,24.8903,0.33,30924561089,37660666502,311501324,5438,616
2,1024,6,24.7997,0.33,30775804544,37676319599,319247544,3458,689
2,1024,8,24.4873,0.33,30495615646,36895014114,306449547,5258,1220
2,2048,1,10.4208,1.57,10725364632,15222645388,78363258,2607,10
2,2048,2,20.3420,0.81,20961981961,30061590925,148075892,5529,27
2,2048,4,24.6288,0.67,30865916581,37260906156,321001285,3724,638
2,2048,6,24.3067,0.67,30583265153,37010705848,319115233,5436,662
2,2048,8,23.9961,0.68,30381128048,36513878869,311894591,4334,1169
2,4096,1,10.2427,3.20,10715119766,16520223063,71493793,2668,15
2,4096,2,20.0690,1.63,20942634221,32032347537,148978277,3556,29
2,4096,4,23.2250,1.41,30825113578,37805918197,300218742,5633,613
2,4096,6,22.8535,1.43,30628025674,37679634309,299393889,3539,658
2,4096,8,22.5746,1.45,30576868203,37485040656,292976592,3877,660
2,8192,1,10.2815,6.37,10534021328,16539737387,68487149,1804,14
2,8192,2,20.3162,3.23,20931603990,32913499353,142203071,3525,21
2,8192,4,23.0992,2.84,30801433265,38328163532,292232222,5625,601
2,8192,6,22.7076,2.89,30551409982,37687828831,292839610,3988,1096
2,8192,8,23.1321,2.83,30643043308,37901109037,291149258,6051,1200
3,256,1,6.6935,0.31,2628682910,6797945747,4378068,4587,29097
3,256,2,12.9627,0.16,7896225687,16147603635,42710260,20524,78505
3,256,4,23.9543,0.09,17592373347,29958246083,87849365,81688,117811
3,256,6,19.5705,0.10,30331024818,39998131114,229084701,61915,12038
3,256,8,19.4188,0.11,30551573148,40451448776,230857473,62844,10475
3,512,1,8.1300,0.50,10626487300,18839082865,62504852,7493,19
3,512,2,14.6470,0.28,20529580065,33091720563,135653498,12574,6525
3,512,4,15.8458,0.26,30710501944,42203209231,284411776,28364,2274
3,512,6,15.9877,0.26,30543389877,42156823400,276301901,48738,3031
3,512,8,16.2589,0.25,30681534925,42625114656,278875364,13842,3634
3,1024,1,8.0493,1.02,10722917795,20555587448,66277994,6106,26
3,1024,2,16.1966,0.51,20894903675,40502910537,120444853,6438,49
3,1024,4,17.2955,0.47,30813869230,44404417977,283705922,5185,722
3,1024,6,17.0389,0.48,30424581678,44115091795,280581543,7278,1331
3,1024,8,17.1474,0.48,30686032928,44331676152,281981695,8047,1710
3,2048,1,7.8805,2.08,10603014831,20028718105,63643520,2064,24
3,2048,2,15.6036,1.05,20890566249,39461060487,125228262,2634,53
3,2048,4,16.9758,0.97,30863919090,44217544959,278089699,4871,692
3,2048,6,16.7286,0.98,30485499350,43786486124,278325700,5695,1371
3,2048,8,16.6015,0.99,30494560040,43574028821,279782284,9281,1395
3,4096,1,6.8930,4.75,10526504562,19872216603,72735450,6181,18
3,4096,2,13.2836,2.47,20561440608,38266865848,132740146,9867,68
3,4096,4,16.0326,2.04,30499372116,42813455400,272713589,16258,735
3,4096,6,15.9731,2.05,30482116562,42969606151,277689611,14108,1466
3,4096,8,15.9838,2.05,30471807618,42866995971,272903080,22373,1458
3,8192,1,6.7702,9.68,10416880366,19418532389,68886000,8628,29
3,8192,2,13.4496,4.87,20726179242,38801068412,129090672,5182,53
3,8192,4,15.8850,4.13,30605732225,42909726023,279975620,10639,711
3,8192,6,16.0667,4.08,30424921425,42919142473,277334887,10085,1386
3,8192,8,15.9818,4.10,30579433346,43120507207,275348161,12519,1609
